threshold,fpr_frr,tpr_pd
0.0074244804804805,1.0,1.0
0.011816245633388508,0.96,1.0
0.016208010786296516,0.94,0.98
0.020599775939204527,0.94,0.98
0.024991541092112535,0.88,0.94
0.029383306245020543,0.88,0.94
0.033775071397928555,0.78,0.94
0.038166836550836566,0.74,0.9
0.04255860170374457,0.74,0.8
0.04695036685665258,0.7,0.76
0.05134213200956059,0.54,0.66
0.0557338971624686,0.52,0.62
0.06012566231537661,0.5,0.58
0.06451742746828462,0.46,0.58
0.06890919262119263,0.42,0.56
0.07330095777410063,0.42,0.52
0.07769272292700864,0.42,0.46
0.08208448807991665,0.38,0.34
0.08647625323282467,0.3,0.3
0.09086801838573266,0.26,0.3
0.09525978353864067,0.26,0.3
0.09965154869154869,0.2,0.28
0.1040433138444567,0.18,0.26
0.10843507899736471,0.14,0.22
0.11282684415027272,0.08,0.22
0.11721860930318072,0.08,0.2
0.12161037445608873,0.04,0.16
0.12600213960899675,0.04,0.12
0.13039390476190477,0.04,0.1
0.13478566991481275,0.02,0.1
0.13917743506772076,0.0,0.08
0.14356920022062877,0.0,0.08
0.14796096537353678,0.0,0.08
0.1523527305264448,0.0,0.08
0.1567444956793528,0.0,0.04
0.16113626083226082,0.0,0.04
0.16552802598516883,0.0,0.04
0.16991979113807684,0.0,0.04
0.17431155629098483,0.0,0.04
0.17870332144389284,0.0,0.04
0.18309508659680085,0.0,0.02
0.18748685174970886,0.0,0.0
0.19187861690261687,0.0,0.0
0.19627038205552488,0.0,0.0
0.2006621472084329,0.0,0.0
0.2050539123613409,0.0,0.0
0.20944567751424892,0.0,0.0
0.21383744266715693,0.0,0.0
0.21822920782006494,0.0,0.0
0.22262097297297292,0.0,0.0
