attack,strength,detection_probability,mean_tvd,trials
X,0.0,0.0,0.05501110710710711,30
X,0.05,0.06666666666666667,0.06769370970970971,30
X,0.1,0.1,0.07494049249249253,30
X,0.2,1.0,0.07960240240240245,30
X,0.3,1.0,0.10263489089089095,30
X,0.5,1.0,0.13765834634634638,30
X,0.75,1.0,0.18679191191191197,30
X,1.0,1.0,0.24564996996997002,30
Y,0.0,0.0,0.05501110710710711,30
Y,0.05,0.03333333333333333,0.06095063063063064,30
Y,0.1,0.16666666666666666,0.08669754554554555,30
Y,0.2,1.0,0.08873290890890893,30
Y,0.3,1.0,0.11949784984984986,30
Y,0.5,1.0,0.1821144184184184,30
Y,0.75,1.0,0.2434026826826827,30
Y,1.0,1.0,0.34616009609609605,30
Z,0.0,0.0,0.05501110710710711,30
Z,0.05,0.06666666666666667,0.06400213013013015,30
Z,0.1,0.1,0.08241303703703703,30
Z,0.2,1.0,0.08823352952952952,30
Z,0.3,1.0,0.12172817617617616,30
Z,0.5,1.0,0.18460801601601595,30
Z,0.75,1.0,0.24737077877877883,30
Z,1.0,1.0,0.3494205725725726,30
